Order_ID,Customer,Product,Quantity,Price,Status
1001,"Robinson, Karen","External SSD",3,79.99,Shipped
1002,"Taylor, Linda","USB Hub",1,24.50,Delivered
1003,"White, Barbara","Gaming Headset",,45.00,Pending
1004,"Rodriguez, Matthew","Portable Monitor",2,129.99,
1005,"Davis, Michael","Mechanical Keyboard",4,89.00,Cancelled
1006,"Garcia, Jessica","Wireless Mouse",5,25.99,Shipped
1007,"Jackson, David","Laptop Charger",1,59.99,Delivered
1008,"Thomas, Elizabeth","Bluetooth Speaker",2,39.50,Returned
1009,"Smith, James","USB Cable",,8.50,Pending
1010,"Johnson, Anne","Docking Station",1,119.00,Shipped
1011,"Martinez, Patricia","Webcam",3,49.99,Delivered
1012,"Wilson, Mary","Screen Protector",6,12.99,Shipped
1013,"Brown, Robert","Smartphone Case",4,15.75,Cancelled
1014,"Anderson, William","External SSD",2,89.99,Shipped
1015,"Harris, Richard","HDMI Adapter",,12.00,Delivered
1016,"Clark, Daniel","Mechanical Keyboard",1,89.00,Shipped
1017,"Thompson, Joseph","USB Hub",3,19.99,Pending
1018,"Lee, Susan","Portable Monitor",2,139.99,Shipped
1019,"Martinez, Charles","Gaming Headset",5,67.50,Delivered
1020,"Robinson, Karen","Wireless Mouse",,25.99,Cancelled
1021,"Taylor, Linda","Laptop Charger",2,59.99,Shipped
1022,"White, Barbara","Monitor Stand",1,34.75,Delivered
1023,"Rodriguez, Matthew","Bluetooth Speaker",3,44.99,Pending
1024,"Garcia, Jessica","USB Cable",8,8.50,Shipped
1025,"Davis, Michael","External SSD",1,72.00,Returned
1026,"Jackson, David","Mechanical Keyboard",2,89.00,Shipped
1027,"Thomas, Elizabeth","Webcam",,49.99,Delivered
1028,"Smith, James","Docking Station",1,109.00,Shipped
1029,"Johnson, Anne","Smartphone Case",5,15.75,Pending
1030,"Martinez, Patricia","HDMI Adapter",2,12.00,Shipped
1031,"Wilson, Mary","USB Hub",4,24.50,Delivered
1032,"Brown, Robert","Portable Monitor",1,129.99,Shipped
1033,"Anderson, William","Gaming Headset",,67.50,Cancelled
1034,"Harris, Richard","Wireless Mouse",3,25.99,Delivered
1035,"Clark, Daniel","Laptop Charger",1,59.99,Shipped
1036,"Thompson, Joseph","Monitor Stand",2,34.75,Pending
1037,"Lee, Susan","USB Cable",6,8.50,Shipped
1038,"Martinez, Charles","Bluetooth Speaker",2,39.50,Delivered
1039,"Robinson, Karen","External SSD",1,89.99,Returned
1040,"Taylor, Linda","Mechanical Keyboard",3,89.00,Shipped
1041,"White, Barbara","HDMI Adapter",4,12.00,Delivered
1042,"Rodriguez, Matthew","Webcam",,49.99,Cancelled
1043,"Garcia, Jessica","Docking Station",1,119.00,Shipped
1044,"Davis, Michael","Smartphone Case",2,15.75,Delivered
1045,"Jackson, David","Wireless Mouse",5,25.99,Shipped
1046,"Thomas, Elizabeth","USB Hub",3,19.99,Pending
1047,"Smith, James","Portable Monitor",1,139.99,Shipped
1048,"Johnson, Anne","Gaming Headset",4,67.50,Delivered
1049,"Martinez, Patricia","Laptop Charger",,59.99,Shipped
1050,"Wilson, Mary","Monitor Stand",2,34.75,Returned
1051,"Brown, Robert","USB Cable",7,8.50,Shipped
1052,"Anderson, William","External SSD",2,79.99,Delivered
1053,"Harris, Richard","Mechanical Keyboard",1,89.00,Shipped
1054,"Clark, Daniel","Bluetooth Speaker",3,44.99,Pending
1055,"Thompson, Joseph","HDMI Adapter",,12.00,Shipped
1056,"Lee, Susan","Webcam",2,49.99,Delivered
1057,"Martinez, Charles","Docking Station",1,109.00,Cancelled
1058,"Robinson, Karen","Smartphone Case",4,15.75,Shipped
1059,"Taylor, Linda","Wireless Mouse",2,25.99,Delivered
1060,"White, Barbara","USB Hub",5,24.50,Shipped
1061,"Rodriguez, Matthew","Portable Monitor",1,129.99,Pending
1062,"Garcia, Jessica","Gaming Headset",,67.50,Shipped
